StairIndex,Grid_i,Grid_j,X_center,Y_center,CumulativePressure,CumulativeSlip
1,2,1,-1.8,0.009000000000000001,0.0,0.0
1,2,2,-1.8,0.015,0.0,0.0
1,2,3,-1.8,0.021,0.0,0.0
1,2,4,-1.8,0.027,0.0,0.0
1,2,5,-1.8,0.033,0.0,0.0
1,2,6,-1.8,0.039,0.0,0.0
1,2,7,-1.8,0.045,0.0,0.0
1,2,8,-1.8,0.051000000000000004,0.0,0.0
1,2,9,-1.8,0.057,0.0,0.0
1,2,10,-1.8,0.063,0.0,0.0
1,2,11,-1.8,0.069,0.0,0.0
1,2,12,-1.8,0.075,0.0,0.0
1,2,13,-1.8,0.081,0.0,0.0
1,2,14,-1.8,0.08700000000000001,0.0,0.0
1,2,15,-1.8,0.093,0.0,0.0
1,2,16,-1.8,0.099,0.0,0.0
1,2,17,-1.8,0.105,0.0,0.0
1,2,18,-1.8,0.111,0.0,0.0
1,2,19,-1.8,0.117,0.0,0.0
1,2,20,-1.8,0.123,0.0,0.0
1,2,21,-1.8,0.129,0.0,0.0
1,2,22,-1.8,0.135,0.0,0.0
1,2,23,-1.8,0.14100000000000001,0.0,0.0
1,2,24,-1.8,0.147,0.0,0.0
1,2,25,-1.8,0.153,0.0,0.0
1,2,26,-1.8,0.159,0.0,0.0
1,2,27,-1.8,0.165,0.0,0.0
1,2,28,-1.8,0.171,0.0,0.0
1,2,29,-1.8,0.177,0.0,0.0
1,2,30,-1.8,0.183,0.0,0.0
1,2,31,-1.8,0.189,0.0,0.0
1,2,32,-1.8,0.195,0.0,0.0
1,2,33,-1.8,0.201,0.0,0.0
1,2,34,-1.8,0.20700000000000002,0.0,0.0
1,2,35,-1.8,0.213,0.0,0.0
1,2,36,-1.8,0.219,0.0,0.0
1,2,37,-1.8,0.225,0.0,0.0
1,2,38,-1.8,0.231,0.0,0.0
1,2,39,-1.8,0.23700000000000002,0.0,0.0
1,2,40,-1.8,0.243,0.0,0.0
1,2,41,-1.8,0.249,0.0,0.0
1,2,42,-1.8,0.255,0.0,0.0
1,2,43,-1.8,0.261,0.0,0.0
1,2,44,-1.8,0.267,0.0,0.0
1,2,45,-1.8,0.273,0.0,0.0
1,2,46,-1.8,0.279,0.0,0.0
1,2,47,-1.8,0.28500000000000003,0.0,0.0
1,2,48,-1.8,0.291,0.0,0.0
1,2,49,-1.8,0.297,0.0,0.0
1,3,0,-1.72,0.003,0.0,0.0
1,3,1,-1.72,0.009000000000000001,0.0,0.0
1,3,2,-1.72,0.015,0.0,0.0
1,3,3,-1.72,0.021,0.0,0.0
1,3,4,-1.72,0.027,0.0,0.0
1,3,5,-1.72,0.033,0.0,0.0
1,3,6,-1.72,0.039,0.0,0.0
1,3,7,-1.72,0.045,0.0,0.0
1,3,8,-1.72,0.051000000000000004,0.0,0.0
1,3,9,-1.72,0.057,0.0,0.0
1,3,10,-1.72,0.063,0.0,0.0
1,3,11,-1.72,0.069,0.0,0.0
1,3,12,-1.72,0.075,0.0,0.0
1,3,13,-1.72,0.081,0.0,0.0
1,3,14,-1.72,0.08700000000000001,968.6548406118554,1.7916147336723943e-05
1,3,15,-1.72,0.093,968.6548406118554,1.7916147336723943e-05
1,3,16,-1.72,0.099,968.6548406118554,1.7916147336723943e-05
1,3,17,-1.72,0.105,968.6548406118554,1.7916147336723943e-05
1,3,18,-1.72,0.111,968.6548406118554,1.7916147336723943e-05
1,3,19,-1.72,0.117,968.6548406118554,1.7916147336723943e-05
1,3,20,-1.72,0.123,968.6548406118554,1.7916147336723943e-05
1,3,21,-1.72,0.129,1651.7613571696152,3.124316210818646e-05
1,3,22,-1.72,0.135,1651.7613571696152,3.124316210818646e-05
1,3,23,-1.72,0.14100000000000001,1651.7613571696152,3.124316210818646e-05
1,3,24,-1.72,0.147,1651.7613571696152,3.124316210818646e-05
1,3,25,-1.72,0.153,1651.7613571696152,3.124316210818646e-05
1,3,26,-1.72,0.159,1651.7613571696152,3.124316210818646e-05
1,3,27,-1.72,0.165,1651.7613571696152,3.124316210818646e-05
1,3,28,-1.72,0.171,683.1065165577596,1.3327014771462514e-05
1,3,29,-1.72,0.177,683.1065165577596,1.3327014771462514e-05
1,3,30,-1.72,0.183,683.1065165577596,1.3327014771462514e-05
1,3,31,-1.72,0.189,683.1065165577596,1.3327014771462514e-05
1,3,32,-1.72,0.195,683.1065165577596,1.3327014771462514e-05
1,3,33,-1.72,0.201,0.0,0.0
1,3,34,-1.72,0.20700000000000002,0.0,0.0
1,3,35,-1.72,0.213,0.0,0.0
1,3,36,-1.72,0.219,0.0,0.0
1,3,37,-1.72,0.225,0.0,0.0
1,3,38,-1.72,0.231,0.0,0.0
1,3,39,-1.72,0.23700000000000002,0.0,0.0
1,3,40,-1.72,0.243,0.0,0.0
1,3,41,-1.72,0.249,0.0,0.0
1,3,42,-1.72,0.255,0.0,0.0
1,3,43,-1.72,0.261,0.0,0.0
1,3,44,-1.72,0.267,0.0,0.0
1,3,45,-1.72,0.273,0.0,0.0
1,3,46,-1.72,0.279,0.0,0.0
1,3,47,-1.72,0.28500000000000003,0.0,0.0
1,3,48,-1.72,0.291,0.0,0.0
1,3,49,-1.72,0.297,0.0,0.0
1,4,0,-1.6400000000000001,0.003,0.0,0.0
1,4,1,-1.6400000000000001,0.009000000000000001,0.0,0.0
1,4,2,-1.6400000000000001,0.015,0.0,0.0
1,4,3,-1.6400000000000001,0.021,0.0,0.0
1,4,4,-1.6400000000000001,0.027,0.0,0.0
1,4,5,-1.6400000000000001,0.033,0.0,0.0
1,4,6,-1.6400000000000001,0.039,0.0,0.0
1,4,7,-1.6400000000000001,0.045,0.0,0.0
1,4,8,-1.6400000000000001,0.051000000000000004,0.0,0.0
1,4,9,-1.6400000000000001,0.057,0.0,0.0
1,4,10,-1.6400000000000001,0.063,0.0,0.0
1,4,11,-1.6400000000000001,0.069,0.0,0.0
1,4,12,-1.6400000000000001,0.075,0.0,0.0
1,4,13,-1.6400000000000001,0.081,0.0,0.0
1,4,14,-1.6400000000000001,0.08700000000000001,0.0,0.0
1,4,15,-1.6400000000000001,0.093,502.2627030433476,1.3449444140607007e-05
1,4,16,-1.6400000000000001,0.099,502.2627030433476,1.3449444140607007e-05
1,4,17,-1.6400000000000001,0.105,502.2627030433476,1.3449444140607007e-05
1,4,18,-1.6400000000000001,0.111,502.2627030433476,1.3449444140607007e-05
1,4,19,-1.6400000000000001,0.117,502.2627030433476,1.3449444140607007e-05
1,4,20,-1.6400000000000001,0.123,502.2627030433476,1.3449444140607007e-05
1,4,21,-1.6400000000000001,0.129,502.2627030433476,1.3449444140607007e-05
1,4,22,-1.6400000000000001,0.135,502.2627030433476,1.3449444140607007e-05
1,4,23,-1.6400000000000001,0.14100000000000001,1185.3692196011073,2.677645891206952e-05
1,4,24,-1.6400000000000001,0.147,1185.3692196011073,2.677645891206952e-05
1,4,25,-1.6400000000000001,0.153,1185.3692196011073,2.677645891206952e-05
1,4,26,-1.6400000000000001,0.159,1185.3692196011073,2.677645891206952e-05
1,4,27,-1.6400000000000001,0.165,1185.3692196011073,2.677645891206952e-05
1,4,28,-1.6400000000000001,0.171,1185.3692196011073,2.677645891206952e-05
1,4,29,-1.6400000000000001,0.177,1185.3692196011073,2.677645891206952e-05
1,4,30,-1.6400000000000001,0.183,502.2627030433476,1.3449444140607007e-05
1,4,31,-1.6400000000000001,0.189,0.0,0.0
1,4,32,-1.6400000000000001,0.195,0.0,0.0
1,4,33,-1.6400000000000001,0.201,0.0,0.0
1,4,34,-1.6400000000000001,0.20700000000000002,0.0,0.0
1,4,35,-1.6400000000000001,0.213,0.0,0.0
1,4,36,-1.6400000000000001,0.219,0.0,0.0
1,4,37,-1.6400000000000001,0.225,0.0,0.0
1,4,38,-1.6400000000000001,0.231,0.0,0.0
1,4,39,-1.6400000000000001,0.23700000000000002,0.0,0.0
1,4,40,-1.6400000000000001,0.243,0.0,0.0
1,4,41,-1.6400000000000001,0.249,0.0,0.0
1,4,42,-1.6400000000000001,0.255,0.0,0.0
1,4,43,-1.6400000000000001,0.261,0.0,0.0
1,4,44,-1.6400000000000001,0.267,0.0,0.0
1,4,45,-1.6400000000000001,0.273,0.0,0.0
1,4,46,-1.6400000000000001,0.279,0.0,0.0
1,4,47,-1.6400000000000001,0.28500000000000003,0.0,0.0
1,4,48,-1.6400000000000001,0.291,0.0,0.0
1,4,49,-1.6400000000000001,0.297,0.0,0.0
1,5,0,-1.56,0.003,0.0,0.0
1,5,1,-1.56,0.009000000000000001,0.0,0.0
1,5,2,-1.56,0.015,0.0,0.0
1,5,3,-1.56,0.021,0.0,0.0
1,5,4,-1.56,0.027,0.0,0.0
1,5,5,-1.56,0.033,0.0,0.0
1,5,6,-1.56,0.039,0.0,0.0
1,5,7,-1.56,0.045,0.0,0.0
1,5,8,-1.56,0.051000000000000004,0.0,0.0
1,5,9,-1.56,0.057,0.0,0.0
1,5,10,-1.56,0.063,0.0,0.0
1,5,11,-1.56,0.069,0.0,0.0
1,5,12,-1.56,0.075,0.0,0.0
